# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	6296
#@/user_id	f9354129-e4a8-46a3-a49d-309797c018cb
a 	啊	c=29 d=2.32019 t=6251
a yi 	阿姨	c=2 d=1.94649 t=3680
ai 	哎	c=2 d=1.21654 t=6309
an 	按	c=3 d=1.14086 t=5688
an 	暗	c=1 d=1 t=6069
an duo 	安多	c=1 d=1 t=4218
an niu 	按扭	c=8 d=1.41479 t=5625
an shi 	暗示	c=1 d=1 t=5950
an ta de 	按他的	c=1 d=1 t=3657
an tai 	安胎	c=1 d=1 t=5882
an tong 	安童	c=1 d=1 t=210
an zhao 	按照	c=2 d=1.00008 t=3892
an zhuang de 	安裝的	c=0 d=0.1 t=1537
ao 	奧	c=1 d=1 t=6019
ba 	吧	c=47 d=2.84899 t=6279
ba 	把	c=18 d=3.69701 t=6170
ba le 	罷了	c=3 d=1 t=6142
ba ni 	把你	c=2 d=1.44614 t=6245
ba ni de 	把你的	c=1 d=1 t=5375
ba suo you 	把所有	c=1 d=1 t=5860
ba ta 	把它	c=3 d=1.14086 t=5632
ba wo 	把我	c=2 d=1 t=4038
bai du 	百度	c=2 d=1.16041 t=6030
bai fen bi 	百分比	c=1 d=1 t=5863
bai se 	白色	c=1 d=1 t=3910
ban 	半	c=2 d=1 t=4399
ban 	搬	c=0 d=0.1 t=1618
ban 	板	c=0 d=0.1 t=1872
ban 	版	c=4 d=1.00004 t=4519
ban 	班	c=0 d=0.1 t=6162
ban 	辦	c=2 d=1.06393 t=4829
ban ben 	版本	c=1 d=1.07261 t=1330
ban fa 	辦法	c=6 d=1.00095 t=5600
ban fa le 	辦法了	c=1 d=1 t=4340
ban ge yue 	半個月	c=0 d=0.1 t=4176
ban ge yue le 	半個月了	c=1 d=1 t=4177
ban men 	瓣門	c=0 d=0.1 t=1110
ban nian 	半年	c=1 d=1 t=2523
ban tian 	半天	c=1 d=1 t=5515
ban yan 	扮演	c=0 d=0.1 t=4969
ban yan le 	扮演了	c=1 d=1 t=4970
bang 	幫	c=0 d=0.1 t=73
bang 	綁	c=1 d=1 t=2007
bang ding 	綁定	c=1 d=1 t=4064
bang gei 	綁給	c=1 d=1 t=3211
bang mang 	幫忙	c=7 d=1.00111 t=6190
bang ni 	幫你	c=1 d=0.331078 t=5068
bang ni gai 	幫你改	c=1 d=1 t=5069
bang wo 	幫我	c=1 d=0.10102 t=2632
bang wo kan kan 	幫我看看	c=1 d=0.1 t=3610
bang wo men 	幫我們	c=4 d=2.37414 t=3257
bang wo zong jie 	幫我總結	c=1 d=1 t=1229
bang zhu 	幫助	c=0 d=0.1 t=1414
bang zhu wo 	幫助我	c=1 d=1 t=1415
bang zhu wo 	幫著我	c=1 d=1 t=74
bao 	包	c=1 d=1 t=6139
bao chi 	保持	c=4 d=0.281605 t=6053
bao chi qi 	保持器	c=3 d=2.72161 t=6087
bao chi yi zhi 	保持一致	c=1 d=1 t=4299
bao cun 	保存	c=1 d=1 t=4429
bao cuo 	報錯	c=2 d=1.96561 t=1383
bao cuo le 	報錯了	c=2 d=1 t=5598
bao guo 	包裹	c=2 d=1 t=4704
bao han 	包含	c=5 d=1 t=5840
bao kuo 	包括	c=4 d=1 t=6157
bao le 	報了	c=2 d=1.56553 t=5759
bao liu 	保留	c=4 d=1.95123 t=5621
bao shou 	保守	c=1 d=1 t=6267
bao zheng 	保證	c=4 d=1.94006 t=5857
bei 	倍	c=0 d=0.1 t=2170
bei 	唄	c=4 d=2.91856 t=6219
bei 	被	c=7 d=1.00008 t=6202
bei fu gai le 	被覆蓋了	c=1 d=1 t=731
bei jing 	背景	c=1 d=0.910584 t=3907
bei jing se 	背景色	c=3 d=1.00598 t=5727
bei jing shi 	背景時	c=1 d=1 t=3908
bei mei 	北美	c=1 d=1 t=6020
bei ni 	被你	c=1 d=1 t=861
bei ren wei 	被認爲	c=1 d=1 t=2084
bei xuan zhong 	被選中	c=1 d=1 t=277
ben di 	本地	c=4 d=1.42105 t=5777
ben lai 	本來	c=5 d=1.76911 t=4467
ben lai de 	本來的	c=1 d=1 t=2181
ben lai jiu 	本來就	c=1 d=1 t=5835
ben shen 	本身	c=3 d=1.00009 t=5983
ben zhi 	本質	c=1 d=0.947894 t=6150
ben zhi wen ti 	本質問題	c=1 d=1 t=6151
beng 	蹦	c=0 d=0.1 t=1157
beng de 	蹦的	c=1 d=1 t=4161
beng ge 	蹦個	c=1 d=1 t=613
beng le mei 	蹦了沒	c=1 d=1 t=1158
bi 	比	c=1 d=0.103735 t=5815
bi guo 	比過	c=0 d=0.1 t=6284
bi ji ben 	筆記本	c=4 d=1.00003 t=5867
bi jiao 	比較	c=12 d=4.23243 t=6068
bi jiao duo 	比較多	c=2 d=1 t=6186
bi jiao hao 	比較好	c=1 d=1 t=5335
bi jiao shao 	比較少	c=0 d=0.1 t=4749
bi jiao shao le 	比較少了	c=1 d=1 t=4750
bi jiao xiao 	比較小	c=0 d=0.1 t=2625
